iso_code,country,year,co2_per_capita,co2_growth_rate,coal_share,renewables_share,anomaly_score,is_anomaly
GAB,Gabon,2000,4.804,1.895576987030268,12.571496770996148,79.19386422976501,-0.013255542254342556,1
GAB,Gabon,2001,4.948,5.744125326370764,12.571496770996148,76.82098765432099,-0.016163009215326873,1
GAB,Gabon,2002,4.647,-3.549382716049388,12.571496770996148,76.976,-0.02668918503583384,1
GAB,Gabon,2003,4.88,7.93600000000001,12.571496770996148,78.80225318707383,-0.025257776425350098,1
GAB,Gabon,2004,4.492,-5.336495701156241,12.571496770996148,76.83996241778891,-0.026995183568535364,1
GAB,Gabon,2005,4.252,-2.552458502975264,12.571496770996148,73.0355134179656,-0.021100670985452874,1
GAB,Gabon,2006,3.675,-10.927205527880435,12.571496770996148,68.73534187263215,-0.016189287561342636,1
GAB,Gabon,2007,3.237,-9.110589933249136,12.571496770996148,62.54466057959508,-0.0060956307503579055,1
GAB,Gabon,2008,3.347,6.768558951965042,12.571496770996148,63.56200037181632,-0.04263049277257802,1
GAB,Gabon,2016,2.672,-2.754677754677748,12.571496770996148,52.41403883841083,-0.031039926257507178,1
GAB,Gabon,2017,2.55,-1.995367895955813,12.571496770996148,53.97200508998364,-0.0021266749899423454,1
GAB,Gabon,2019,2.473,0.7909401402121263,12.571496770996148,52.57713572320315,-0.02126889233540674,1
GAB,Gabon,2020,2.427,0.517210629570175,12.571496770996148,52.60823278921221,-0.022812967208140855,1
GAB,Gabon,2023,2.141,-7.98893307971642,12.571496770996148,46.08156361586168,-0.027134616207928675,1
GAB,Gabon,2024,2.126,1.4658898703251433,12.571496770996148,46.13817373587702,-0.016638685830248634,1
GNQ,Equatorial Guinea,1994,2.089,1541.4285714285716,12.571496770996148,93.64664926022628,-0.15113038412005952,1
GNQ,Equatorial Guinea,1995,2.142,6.440382941688427,12.571496770996148,93.37694194603434,-0.042524001475849005,1
GNQ,Equatorial Guinea,1996,2.29,11.120196238757153,12.571496770996148,90.28697571743928,-0.05242326827396626,1
GNQ,Equatorial Guinea,1997,3.201,45.32744665194996,12.571496770996148,84.60759493670886,-0.09141537695681845,1
GNQ,Equatorial Guinea,1998,3.578,16.202531645569618,12.571496770996148,88.80174291938998,-0.06224079362104451,1
GNQ,Equatorial Guinea,1999,3.763,9.411764705882364,12.571496770996148,86.89765033851056,-0.057277591872109346,1
GNQ,Equatorial Guinea,2000,3.838,7.487056949422532,12.571496770996148,83.95702111893294,-0.03908710794367365,1
GNQ,Equatorial Guinea,2001,4.122,14.52389773990368,12.571496770996148,84.11517308314461,-0.0650193680802218,1
GNQ,Equatorial Guinea,2002,3.465,-10.546748625040436,12.571496770996148,70.81374321880651,-0.04552415929563214,1
GNQ,Equatorial Guinea,2003,3.691,13.200723327305596,12.571496770996148,68.370607028754,-0.018076408756892426,1
GNQ,Equatorial Guinea,2004,6.82,96.07028753993607,12.571496770996148,41.12758676877953,-0.0766207538790844,1
IRQ,Iraq,1992,3.225,29.700032963410617,0.0,1.807861741782446,-0.008899829118956037,1
IRQ,Iraq,1994,3.802,21.03915400787189,0.0,8.343672051506417,-0.0301442744641508,1
IRQ,Iraq,2008,3.256,53.7377161389156,0.0,17.27778661154396,-0.012475206116701831,1
ISL,Iceland,2008,12.004,9.072696050372064,16.767252689582786,6.848596168984514,-0.008770095303862524,1
KAZ,Kazakhstan,1991,15.072,-2.611768665507374,65.83992842359105,3.47744613529629,-0.009715097070173262,1
KAZ,Kazakhstan,1992,13.473,-10.328660131095411,68.71999760194927,3.630477511851069,-0.024033242173254976,1
KAZ,Kazakhstan,1993,12.015,-11.11839090796196,69.22706314830964,3.4804561594534533,-0.013696635022285908,1
KAZ,Kazakhstan,1994,10.248,-15.84513319104448,67.87846866394536,3.578155503775676,-0.017746386430724792,1
KAZ,Kazakhstan,2008,13.764,0.1727865598639022,55.34227914834897,7.9760462092330044,-0.005250884363851904,1
KAZ,Kazakhstan,2016,16.431,-0.4332589786571472,61.47332628529956,6.454916334978236,-0.015249046239608544,1
KAZ,Kazakhstan,2019,15.411,-10.174408020098792,60.87589514930415,5.936359951357929,-0.005603722727747118,1
KAZ,Kazakhstan,2020,14.464,-4.813876503175263,65.63918392840034,6.207126608916582,-6.4981377766448745e-06,1
KAZ,Kazakhstan,2023,14.076,4.311708572386697,57.03398270289159,6.847907748755134,-0.025725411779419338,1
KAZ,Kazakhstan,2024,13.937,0.2903817594129387,55.806150394068425,6.827383399650174,-0.02252796549641356,1
KWT,Kuwait,1991,364.791,1202.0072366162217,12.571496770996148,5.771036900151927,-0.2164714802915344,1
KWT,Kuwait,1992,18.155,-93.9788510261086,0.0,4.089883098069606,-0.017874379028332332,1
KWT,Kuwait,1993,29.401,65.62678974497187,0.0,1.265179098102223,-0.08283735573590612,1
KWT,Kuwait,1994,34.406,16.479873075280203,0.0,5.944294071422348,-0.02529322553998703,1
KWT,Kuwait,1995,33.46,-1.7497598882388887,0.0,6.073263068090938,-0.009265631877384384,1
KWT,Kuwait,1997,31.753,9.652681193014988,0.0,6.814057958248924,-0.009362614950372494,1
KWT,Kuwait,2002,29.182,1.6830460596424013,0.0,5.264996506637388,-0.01621446100339663,1
KWT,Kuwait,2004,30.526,5.38317517722553,0.0,6.322982309619633,-0.012376618925841631,1
KWT,Kuwait,2005,33.358,13.301951256548472,0.0013402130938819,5.627554781210193,-0.020222483818047365,1
KWT,Kuwait,2008,31.848,9.246393686525645,0.0011842448070865,4.096302787712261,-0.047280839140527275,1
KWT,Kuwait,2012,30.327,16.121444389622596,0.5256865050740606,3.074080295649253,-0.019112065846546122,1
KWT,Kuwait,2015,24.337,24.43262127636876,0.907658840297052,3.135548721026169,-0.01091013362820581,1
KWT,Kuwait,2016,25.979,11.468435547649424,0.7479402801411281,3.5541583749122907,-0.02423168941696796,1
KWT,Kuwait,2022,25.242,31.842856980277467,0.2908959076038637,2.2097730666643827,-0.029209912748716094,1
KWT,Kuwait,2023,25.454,6.318569862493417,0.5041853063676738,2.1953575980969333,-0.03186100741930831,1
KWT,Kuwait,2024,26.248,5.155518028075257,0.4810105081107791,2.011287919147009,-0.03861974512219013,1
LAO,Laos,2015,1.35,109.55966233173626,55.61241154055525,12.868807838867724,-0.05010621894513434,1
LAO,Laos,2016,2.375,78.62819814915622,72.93228500030474,7.923447309075399,-0.07291174158902547,1
LAO,Laos,2019,2.534,-10.453591133245457,74.49836423118866,10.839694656488549,-0.01214344104645404,1
LAO,Laos,2021,2.93,19.36700557559856,62.5955946329624,25.18660988230984,-0.009980623190509297,1
LAO,Laos,2023,3.152,7.131136635770985,68.54741896758703,20.22188185619075,-0.03735625724042324,1
LAO,Laos,2024,3.14,1.0059196092229827,68.35245901639345,20.02049180327868,-0.03220642332108481,1
LBY,Libya,1990,8.214,1.9077901430842648,0.0410801336473681,22.791258147559844,-0.02988752949228679,1
LBY,Libya,1991,9.379,16.722353070055295,0.0351947442515251,18.885499765368365,-0.022184608141227358,1
LBY,Libya,1994,10.651,32.68574971582103,0.0292056074766355,24.458722741433007,-0.05291759687647746,1
LBY,Libya,1995,11.126,6.300623052959486,0.0274745402593596,24.98168363982708,-0.0076568706906006145,1
LBY,Libya,1996,10.818,-1.179573595135175,0.0278024911032028,26.61995848161328,-0.005662799695105636,1
LBY,Libya,2021,7.892,55.941402896624304,12.571496770996148,22.08943031680636,-0.00019157557788884727,1
LSO,Lesotho,2008,1.079,2.266152362584384,79.30221593587929,0.0,-0.022258881502580263,1
