year,prophet_co2,prophet_lower,prophet_upper,lstm_co2,lstm_lower,lstm_upper,arima_co2,arima_lower,arima_upper,forecast_co2,forecast_co2_lower,forecast_co2_upper,model_used,iso_code,country,forecast_temp_anomaly,forecast_temp_lower,forecast_temp_upper,last_historical_year,last_co2,last_co2_per_capita
2029,24.337204892309465,21.014061166919547,27.61913966153254,18.191043189759796,15.847976223822181,20.534110155697412,17.799649110518875,11.740575187334276,23.858723033703473,21.1662755212244,17.404168436248888,24.90777812811649,Prophet+LSTM+ARIMA,SDN,Sudan,0.48601104881494706,0.3143609013188334,0.6530325345002317,2024,17.795,0.353
2030,24.910400047823043,21.572286876858552,28.334925797666322,18.21007250629492,15.867005540357306,20.553139472232537,17.799649112847394,11.14930403899854,24.449994186696248,21.4576304286971,17.540220833268236,25.418246313565355,Prophet+LSTM+ARIMA,SDN,Sudan,0.511690773872742,0.35608454141698903,0.6763601279491342,2024,17.795,0.353
2031,25.483595203336613,22.091314525032203,28.802334154644132,18.214949718953278,15.871882753015663,20.558016684890895,17.79964911297681,10.606471594363352,24.992826631590265,21.745447309650828,17.665245849360854,25.788877906442355,Prophet+LSTM+ARIMA,SDN,Sudan,0.5373704989305369,0.38032067456481233,0.6979752691872981,2024,17.795,0.353
2032,26.05679035885019,22.790212247189068,29.629617855822712,18.212971640797775,15.86990467486016,20.55603860673539,17.799649112984003,10.101823702482747,25.49747452348526,22.03155036787054,17.88803821793026,26.328187210466517,Prophet+LSTM+ARIMA,SDN,Sudan,0.5630502239883317,0.40246216893536096,0.7309589202957162,2024,17.795,0.353
2033,26.6315559120501,23.434489109548576,29.980248651506642,18.208775717437618,15.865708751500003,20.551842683375234,17.799649112984405,9.628282685750587,25.97101554021822,22.31788416363056,18.090742414086936,26.620838881651686,Prophet+LSTM+ARIMA,SDN,Sudan,0.5888003044572439,0.4337913702025986,0.7497248864369677,2024,17.795,0.353
2034,27.204751067563674,23.718690602979223,30.54019774205381,18.20438096286597,15.861313996928354,20.547447928803585,17.799649112984426,9.180719798634474,26.418578427334378,22.603383052744437,18.11985375038032,27.011605460061396,Prophet+LSTM+ARIMA,SDN,Sudan,0.6144800295150387,0.45013785872180284,0.7791470849533273,2024,17.795,0.353
2025,14.998657828638306,14.19011760657779,15.849006189792071,14.184642216308077,13.068028788311441,15.301255644304714,14.092144202363496,12.78100036129677,15.403288043430221,14.568525518987048,13.557316090690948,15.60063901682977,Prophet+LSTM+ARIMA,SEN,Senegal,0.3832217931726503,0.2202730947878225,0.5461162636911738,2024,14.092,0.762
2026,15.560326894452029,14.749385594348725,16.353217128808517,14.594762762383652,13.478149334387016,15.711376190380289,14.09214628179566,12.224491757363207,15.959800806228113,14.951890708270842,13.800353070111917,16.09440281355636,Prophet+LSTM+ARIMA,SEN,Senegal,0.4089015182304452,0.24552822391782106,0.565745810368102,2024,14.092,0.762
2027,16.12199596026575,15.255495653449817,16.965009177665483,14.796713253235168,13.680099825238532,15.913326681231805,14.092146311781564,11.799136497807392,16.385156125755735,15.283212871387057,13.997556907486391,16.557125290579627,Prophet+LSTM+ARIMA,SEN,Senegal,0.4345812432882401,0.26844936713472756,0.5978818618181819,2024,14.092,0.762
2028,16.683665026079474,15.888123587088124,17.497826361614816,14.824128588202939,13.707515160206302,15.940742016199575,14.092146312213968,11.441171953246828,16.74312067118111,15.570901238143964,14.231233571907344,16.91987885265258,Prophet+LSTM+ARIMA,SEN,Senegal,0.460260968346035,0.2943489758972844,0.6132701831914098,2024,14.092,0.762
