iso_code,country,year,metric,value,z_score,mean,std
KWT,Kuwait,2009,co2_per_capita,31.777,4.012865507107816,5.112788732394367,6.644681019181048
QAT,Qatar,2009,co2_per_capita,41.175,5.427229864534607,5.112788732394367,6.644681019181048
TTO,Trinidad and Tobago,2009,co2_per_capita,32.209,4.077879914684787,5.112788732394367,6.644681019181048
AGO,Angola,2009,renewables_share,34.26553125604799,3.1949996417332374,5.771382998949596,8.918357262049884
COD,Democratic Republic of Congo,2009,renewables_share,36.99918233851185,3.501519217271696,5.771382998949596,8.918357262049884
COG,Congo,2009,renewables_share,65.97896440129449,6.750972139067031,5.771382998949596,8.918357262049884
GAB,Gabon,2009,renewables_share,61.89668174962293,6.293232834425937,5.771382998949596,8.918357262049884
GNQ,Equatorial Guinea,2009,renewables_share,41.36801146835961,3.9913884837159044,5.771382998949596,8.918357262049884
NGA,Nigeria,2009,renewables_share,40.35258532279213,3.8775305034028253,5.771382998949596,8.918357262049884
PRK,North Korea,2009,coal_share,92.71652379544784,3.0453223350274117,20.371051200577355,23.756261123083803
ABW,Aruba,2010,co2_per_capita,25.03,3.010724890655388,5.213262910798122,6.5820484464417754
ARE,United Arab Emirates,2010,co2_per_capita,26.786,3.27751113726062,5.213262910798122,6.5820484464417754
CUW,Curacao,2010,co2_per_capita,25.713,3.1144919786003613,5.213262910798122,6.5820484464417754
KWT,Kuwait,2010,co2_per_capita,30.482,3.8390384535777824,5.213262910798122,6.5820484464417754
QAT,Qatar,2010,co2_per_capita,43.09,5.754551549932433,5.213262910798122,6.5820484464417754
TTO,Trinidad and Tobago,2010,co2_per_capita,33.961,4.367597310035414,5.213262910798122,6.5820484464417754
AGO,Angola,2010,renewables_share,35.86563982073707,3.6143284596970404,5.592181231330825,8.375956675488155
COD,Democratic Republic of Congo,2010,renewables_share,33.82084095063985,3.3702012573583233,5.592181231330825,8.375956675488155
COG,Congo,2010,renewables_share,64.89090909090909,7.079636411338327,5.592181231330825,8.375956675488155
GAB,Gabon,2010,renewables_share,58.84587554269174,6.357923801970629,5.592181231330825,8.375956675488155
GNQ,Equatorial Guinea,2010,renewables_share,33.35424180649207,3.314494290115613,5.592181231330825,8.375956675488155
ARE,United Arab Emirates,2011,co2_per_capita,27.574,3.3392278517306058,5.2197746478873235,6.694429474325108
CUW,Curacao,2011,co2_per_capita,32.452,4.067893381587692,5.2197746478873235,6.694429474325108
KWT,Kuwait,2011,co2_per_capita,27.819,3.3758254439436,5.2197746478873235,6.694429474325108
QAT,Qatar,2011,co2_per_capita,45.175,5.968428751897595,5.2197746478873235,6.694429474325108
TTO,Trinidad and Tobago,2011,co2_per_capita,33.723,4.257752727313062,5.2197746478873235,6.694429474325108
AGO,Angola,2011,renewables_share,32.69222549899558,3.296834696829978,5.752718822246519,8.171324665641363
COG,Congo,2011,renewables_share,56.143479984145856,6.166779955982105,5.752718822246519,8.171324665641363
GAB,Gabon,2011,renewables_share,53.86451257572976,5.887881796666682,5.752718822246519,8.171324665641363
TLS,East Timor,2011,renewables_share,43.5483870967742,4.625402835044631,5.752718822246519,8.171324665641363
ARE,United Arab Emirates,2012,co2_per_capita,27.787,3.2879909052697123,5.219704225352113,6.8635517630170275
CUW,Curacao,2012,co2_per_capita,39.076,4.93276614552195,5.219704225352113,6.8635517630170275
KWT,Kuwait,2012,co2_per_capita,30.327,3.6580616918974638,5.219704225352113,6.8635517630170275
QAT,Qatar,2012,co2_per_capita,49.152,6.400810730585423,5.219704225352113,6.8635517630170275
TTO,Trinidad and Tobago,2012,co2_per_capita,32.881,4.03017223876647,5.219704225352113,6.8635517630170275
COG,Congo,2012,renewables_share,42.48704663212435,4.639210209004892,5.877976651759054,7.891228965935975
GAB,Gabon,2012,renewables_share,51.89393939393939,5.83127963221156,5.877976651759054,7.891228965935975
